model,phylum,rank,AUROC,AUPR
DeepCOI,Annelida,class,0.996351071427648,0.9640911688759364
wo_MCM,Annelida,class,0.9970996477528791,0.9728539335403715
wo_wBCE,Annelida,class,0.9961511447099707,0.9635017611955243
base,Annelida,class,0.9956211243097098,0.9619065285807806
DeepCOI,Arthropoda,class,0.9995068622006704,0.9824159119677063
base,Arthropoda,class,0.999405416463487,0.9854368418403449
wo_wBCE,Arthropoda,class,0.9988703103609531,0.9870252647257499
wo_MCM,Arthropoda,class,0.9992668720342484,0.9809541556663208
base,Chordata,class,0.9981534267241127,0.9759446873401585
wo_MCM,Chordata,class,0.9995797715536064,0.9937196986056426
base,Cnidaria,class,0.9966137164782993,0.9933860810559562
wo_MCM,Cnidaria,class,0.9975477536395442,0.9956998254356756
wo_wBCE,Cnidaria,class,0.9964246709318645,0.9935769728827655
DeepCOI,Cnidaria,class,0.9976640959172355,0.9960438407235401
base,Echinodermata,class,0.9947236766165948,0.9899203786184785
wo_MCM,Echinodermata,class,0.9986114998475653,0.9972633473406638
wo_wBCE,Echinodermata,class,0.9943198094576173,0.9903770373196735
DeepCOI,Echinodermata,class,0.9981413264076144,0.9962352354335291
wo_wBCE,Chordata,class,0.9983602265710677,0.9784340812708757
wo_MCM,Mollusca,class,0.9993997239782669,0.9985020468915895
base,Mollusca,class,0.9990310434929737,0.9977291018726897
base,Nematoda,class,0.9692164495250815,0.8903346092845432
wo_MCM,Nematoda,class,0.9848656487972254,0.9246094142001524
wo_wBCE,Nematoda,class,0.9774664760040102,0.9341237754460054
wo_wBCE,Mollusca,class,0.9990209345476475,0.9976787357820234
DeepCOI,Nematoda,class,0.9848758990598353,0.9652781884426039
base,Platyhelminthes,class,0.9487289501404548,0.9345564066157585
wo_MCM,Platyhelminthes,class,0.9549381543559563,0.9393918412518899
wo_wBCE,Platyhelminthes,class,0.9600994945334431,0.9412764983383038
DeepCOI,Platyhelminthes,class,0.9536393082155059,0.9391136659734962
DeepCOI,Chordata,class,0.9997396988487319,0.9945461734961633
DeepCOI,Mollusca,class,0.9994410640483344,0.9984763116578798
DeepCOI,Annelida,order,0.9633547948932577,0.8856033279933654
wo_MCM,Annelida,order,0.9546020726803857,0.8700018646689723
wo_wBCE,Annelida,order,0.9559498523468131,0.8647084961978727
base,Annelida,order,0.9562848900201163,0.8471548210818347
DeepCOI,Arthropoda,order,0.9985111329981305,0.9744823241963504
base,Arthropoda,order,0.9973946808046741,0.9772310667962695
wo_wBCE,Arthropoda,order,0.9988116320534678,0.9773931747757996
wo_MCM,Arthropoda,order,0.9981994758251672,0.9739422190274004
base,Chordata,order,0.9804232644543223,0.9319049470824038
wo_MCM,Chordata,order,0.989293888333917,0.9547954022847586
base,Cnidaria,order,0.9859198160271624,0.9613612685555728
wo_MCM,Cnidaria,order,0.9821361680372709,0.9610277266518692
wo_wBCE,Cnidaria,order,0.9848025324681158,0.9655804636146136
DeepCOI,Cnidaria,order,0.983547008932868,0.9617407488149721
base,Echinodermata,order,0.9714241985971854,0.9388936702867183
wo_MCM,Echinodermata,order,0.9875870729384186,0.9632696244829525
wo_wBCE,Echinodermata,order,0.973883507922115,0.9436450244162545
DeepCOI,Echinodermata,order,0.9878801817074229,0.9675902658983568
wo_wBCE,Chordata,order,0.9869989809223266,0.9344884893956207
wo_MCM,Mollusca,order,0.9795368014239852,0.9280339830136598
base,Mollusca,order,0.9805627063700311,0.9070943059648027
base,Nematoda,order,0.969637825199732,0.9160512996674933
wo_MCM,Nematoda,order,0.9753656357319034,0.9293228628947818
wo_wBCE,Nematoda,order,0.9716532967953488,0.9137821692661621
wo_wBCE,Mollusca,order,0.9870295553256491,0.9105190395146225
DeepCOI,Nematoda,order,0.972741385992898,0.9120992434751541
base,Platyhelminthes,order,0.9832901431941232,0.9439045496838004
wo_MCM,Platyhelminthes,order,0.9792468268117114,0.9720724136758546
wo_wBCE,Platyhelminthes,order,0.9852500460039595,0.9388746133150463
DeepCOI,Platyhelminthes,order,0.9827376287004777,0.9768829874353268
DeepCOI,Chordata,order,0.9923074859101108,0.9575045174840295
DeepCOI,Mollusca,order,0.989164560386665,0.9309275356414407
DeepCOI,Annelida,family,0.9697345436897463,0.8742279188771603
wo_MCM,Annelida,family,0.961363893821491,0.8693764411607534
wo_wBCE,Annelida,family,0.9494965499034116,0.849287516853567
base,Annelida,family,0.937170382100198,0.840930566662158
DeepCOI,Arthropoda,family,0.9932534896410832,0.9320285268673479
base,Arthropoda,family,0.9902207586006806,0.9220518287151227
wo_wBCE,Arthropoda,family,0.9925450726458827,0.9223842449354603
wo_MCM,Arthropoda,family,0.9909020971581373,0.9335337570565135
base,Chordata,family,0.9833586720198039,0.9241882322088494
wo_MCM,Chordata,family,0.9888441261621752,0.9454106002219846
base,Cnidaria,family,0.9560963511553953,0.9058041767844521
wo_MCM,Cnidaria,family,0.9355031146351143,0.892753446769442
wo_wBCE,Cnidaria,family,0.9565836125733289,0.9040981093001882
DeepCOI,Cnidaria,family,0.9400157286402695,0.8868552997883833
base,Echinodermata,family,0.9656356095785416,0.9221472188587791
wo_MCM,Echinodermata,family,0.9881364950486943,0.9407107970912175
wo_wBCE,Echinodermata,family,0.9649217703890461,0.9262430709820324
DeepCOI,Echinodermata,family,0.9818802651073042,0.9414690067528148
wo_wBCE,Chordata,family,0.985097657038158,0.923598534475508
wo_MCM,Mollusca,family,0.963153519615963,0.8755046931288468
base,Mollusca,family,0.9586332222634186,0.8583599401341494
base,Nematoda,family,0.9206795176184119,0.8015643824025639
wo_MCM,Nematoda,family,0.9347882472056852,0.7764297981093862
wo_wBCE,Nematoda,family,0.9094463403709435,0.811511945597738
wo_wBCE,Mollusca,family,0.9642844101885047,0.8560093737289138
DeepCOI,Nematoda,family,0.9361402069199097,0.7842896542314421
base,Platyhelminthes,family,0.9895673110058655,0.9512593504397066
wo_MCM,Platyhelminthes,family,0.9936027576066808,0.9654740440581457
wo_wBCE,Platyhelminthes,family,0.9891549991948246,0.9552238849539555
DeepCOI,Platyhelminthes,family,0.9912515169707847,0.9773853916581321
DeepCOI,Chordata,family,0.9906993065605232,0.945846196498107
DeepCOI,Mollusca,family,0.9698996969542375,0.8729346417942391
DeepCOI,Annelida,genus,0.9321183651090531,0.8088115188384235
wo_MCM,Annelida,genus,0.9286377819762225,0.805820967407807
wo_wBCE,Annelida,genus,0.9238175306945036,0.8195185797281261
base,Annelida,genus,0.9220441790988559,0.8073565113473286
DeepCOI,Arthropoda,genus,0.9736882618439536,0.8668405410565097
base,Arthropoda,genus,0.9687957476545193,0.8658974347317042
wo_wBCE,Arthropoda,genus,0.9720601265871628,0.8650750723623977
wo_MCM,Arthropoda,genus,0.9704746537715088,0.8678295735935943
base,Chordata,genus,0.9605465206593049,0.8792134954311652
wo_MCM,Chordata,genus,0.9675746524827931,0.8980214613997716
base,Cnidaria,genus,0.9580749769424259,0.8930307271910788
wo_MCM,Cnidaria,genus,0.9430938336491461,0.8795165035748344
wo_wBCE,Cnidaria,genus,0.9512437904226809,0.8931384837728344
DeepCOI,Cnidaria,genus,0.9490849599277587,0.8860789449831363
base,Echinodermata,genus,0.952623228003501,0.8974326288061379
wo_MCM,Echinodermata,genus,0.9530335290134578,0.9107183540336823
wo_wBCE,Echinodermata,genus,0.9541321922113161,0.8982423456888493
DeepCOI,Echinodermata,genus,0.9469897248296144,0.9138751952829967
wo_wBCE,Chordata,genus,0.9633021715788181,0.8780691818883062
wo_MCM,Mollusca,genus,0.9354152322580799,0.8230400335477431
base,Mollusca,genus,0.9270226121357451,0.8120640063768318
base,Nematoda,genus,0.9061414140075776,0.7876132895781816
wo_MCM,Nematoda,genus,0.8900734804286929,0.7754823380476948
wo_wBCE,Nematoda,genus,0.8939121305632549,0.7982023891867294
wo_wBCE,Mollusca,genus,0.9277433638807565,0.8082071849793259
DeepCOI,Nematoda,genus,0.8830249102269885,0.7662450583462834
base,Platyhelminthes,genus,0.9898780330851713,0.9482945866498064
wo_MCM,Platyhelminthes,genus,0.9935483492629599,0.9776667103102434
wo_wBCE,Platyhelminthes,genus,0.9914174618407328,0.9549449034453225
DeepCOI,Platyhelminthes,genus,0.9904790010543432,0.9753924723081816
DeepCOI,Chordata,genus,0.9707550359970882,0.8971675183743466
DeepCOI,Mollusca,genus,0.9381886510826576,0.8213522929179942
DeepCOI,Annelida,species,0.9267722516060011,0.8023779728947884
wo_MCM,Annelida,species,0.9267722516060011,0.8023779728947884
wo_wBCE,Annelida,species,0.9333446729687734,0.8314252664589589
base,Annelida,species,0.9333446729687734,0.8314252664589589
DeepCOI,Arthropoda,species,0.9373058601629496,0.9326844162971919
base,Arthropoda,species,0.9692363791881712,0.9495792696309372
wo_wBCE,Arthropoda,species,0.9692363791881712,0.9495792696309372
wo_MCM,Arthropoda,species,0.9373058601629496,0.9326844162971919
base,Chordata,species,0.9173111319465118,0.8000070914949882
wo_MCM,Chordata,species,0.9124080523036203,0.7958981100363389
base,Cnidaria,species,0.8062054196878046,0.5965270761483855
wo_MCM,Cnidaria,species,0.7619291462458816,0.561529126195365
wo_wBCE,Cnidaria,species,0.8062054196878046,0.5965270761483855
DeepCOI,Cnidaria,species,0.7619291462458816,0.561529126195365
base,Echinodermata,species,0.9668937413684349,0.8992948936896803
wo_MCM,Echinodermata,species,0.9578735802058251,0.8934738227224583
wo_wBCE,Echinodermata,species,0.9668937413684349,0.8992948936896803
DeepCOI,Echinodermata,species,0.9578735802058251,0.8934738227224583
wo_wBCE,Chordata,species,0.9173111319465118,0.8000070914949882
wo_MCM,Mollusca,species,0.9120607504464011,0.7788136454411752
base,Mollusca,species,0.9223152992785393,0.7921436811524158
base,Nematoda,species,0.9727019100655895,0.9245035694774908
wo_MCM,Nematoda,species,0.9789840549152493,0.9347914243731112
wo_wBCE,Nematoda,species,0.9727019100655895,0.9245035694774908
wo_wBCE,Mollusca,species,0.9223152992785393,0.7921436811524158
DeepCOI,Nematoda,species,0.9789840549152493,0.9347914243731112
base,Platyhelminthes,species,0.9497676556627173,0.8486960236651594
wo_MCM,Platyhelminthes,species,0.9141057724391057,0.8391566698974106
wo_wBCE,Platyhelminthes,species,0.9497676556627173,0.8486960236651594
DeepCOI,Platyhelminthes,species,0.9141057724391057,0.8391566698974106
DeepCOI,Chordata,species,0.9124080523036203,0.7958981100363389
DeepCOI,Mollusca,species,0.9120607504464011,0.7788136454411752
